2424 東証1部 (株)ブラス（サービス業）,,,,,
"2019-05-28","616","617","615","617","5500","617"
"2019-05-29","619","623","615","623","4900","623"
"2019-05-30","629","629","620","623","3600","623"
"2019-05-31","626","626","618","620","3600","620"
"2019-06-03","621","621","610","610","5300","610"
"2019-06-04","620","620","613","614","6100","614"
"2019-06-05","615","617","613","615","3700","615"
"2019-06-06","615","616","615","615","2000","615"
"2019-06-07","615","621","613","621","3000","621"
"2019-06-10","625","626","620","624","6400","624"
"2019-06-11","624","624","620","624","2700","624"
"2019-06-12","624","625","620","623","3200","623"
"2019-06-13","625","625","622","625","2600","625"
"2019-06-14","627","629","627","627","5100","627"
"2019-06-17","633","635","628","635","17400","635"
"2019-06-18","635","637","630","630","4900","630"
"2019-06-19","637","637","627","632","8800","632"
"2019-06-20","637","641","634","640","8900","640"
"2019-06-21","644","644","640","642","6600","642"
"2019-06-24","663","665","653","664","26600","664"
"2019-06-25","670","679","665","670","16300","670"
"2019-06-26","669","670","667","669","8700","669"
"2019-06-27","675","679","671","671","26300","671"
"2019-06-28","680","680","673","679","12200","679"
"2019-07-01","682","691","682","689","26100","689"
"2019-07-02","697","702","696","702","18400","702"
"2019-07-03","704","716","704","716","26200","716"
"2019-07-04","716","738","716","731","30200","731"
"2019-07-05","746","780","738","780","74600","780"
"2019-07-08","769","780","741","763","65500","763"
"2019-07-09","760","772","746","749","33900","749"
"2019-07-10","745","746","702","721","38600","721"
"2019-07-11","723","727","719","724","17400","724"
"2019-07-12","731","738","724","738","11200","738"
"2019-07-16","738","749","736","748","18300","748"
"2019-07-17","748","749","744","746","12400","746"
"2019-07-18","745","748","740","740","12700","740"
"2019-07-19","748","750","740","742","16100","742"
"2019-07-22","742","747","742","746","7100","746"
"2019-07-23","748","748","744","746","14300","746"
"2019-07-24","748","748","745","746","13600","746"
"2019-07-25","745","748","744","748","16100","748"
"2019-07-26","748","750","746","747","17100","747"
"2019-07-29","748","754","747","750","42000","750"
"2019-07-30","683","692","665","688","104900","688"
"2019-07-31","684","684","663","663","22400","663"
"2019-08-01","657","687","629","687","52900","687"
"2019-08-02","667","669","658","658","9600","658"
"2019-08-05","658","658","634","637","11600","637"
"2019-08-06","632","632","617","629","9000","629"
"2019-08-07","636","640","635","635","4000","635"
"2019-08-08","635","636","622","623","4500","623"
"2019-08-09","626","629","620","622","4400","622"
"2019-08-13","623","623","612","612","7200","612"
"2019-08-14","612","618","611","612","5200","612"
"2019-08-15","611","611","601","611","7200","611"
"2019-08-16","608","609","604","607","2800","607"
"2019-08-19","605","605","601","601","3000","601"
"2019-08-20","601","609","601","609","3500","609"
"2019-08-21","608","610","608","610","2200","610"
"2019-08-22","615","615","607","607","2900","607"
"2019-08-23","614","614","602","602","2500","602"
"2019-08-26","593","594","583","594","7300","594"
"2019-08-27","596","600","588","592","4900","592"
"2019-08-28","587","591","584","586","4400","586"
"2019-08-29","587","593","586","586","3200","586"
"2019-08-30","587","591","587","589","6100","589"
"2019-09-02","594","603","594","600","7400","600"
"2019-09-03","603","612","602","608","6000","608"
"2019-09-04","611","611","603","605","3400","605"
"2019-09-05","604","615","602","615","9000","615"
"2019-09-06","615","615","608","613","5100","613"
"2019-09-09","613","617","610","617","2200","617"
"2019-09-10","621","631","621","629","9900","629"
"2019-09-11","631","654","629","654","14200","654"
"2019-09-12","654","654","641","643","13400","643"
"2019-09-13","680","680","655","663","44400","663"
"2019-09-17","666","666","660","663","7600","663"
"2019-09-18","656","660","653","655","4800","655"
"2019-09-19","651","663","650","660","6700","660"
"2019-09-20","660","670","656","668","5600","668"
"2019-09-24","672","678","668","670","6400","670"
"2019-09-25","667","671","647","668","4800","668"
"2019-09-26","665","670","661","665","6100","665"
"2019-09-27","665","666","659","663","4300","663"
"2019-09-30","662","665","654","658","7100","658"
"2019-10-01","650","660","650","656","4700","656"
"2019-10-02","649","655","647","652","4900","652"
"2019-10-03","646","649","641","643","2400","643"
"2019-10-04","643","655","642","655","2900","655"
"2019-10-07","655","656","650","650","1600","650"
"2019-10-08","649","663","649","660","6400","660"
"2019-10-09","659","659","653","655","1500","655"
"2019-10-10","655","655","650","650","2000","650"
"2019-10-11","650","650","642","642","1400","642"
"2019-10-15","654","654","643","648","2200","648"
"2019-10-16","650","651","647","647","3800","647"
"2019-10-17","644","645","641","643","4700","643"
"2019-10-18","650","651","639","639","3200","639"
"2019-10-21","643","649","642","649","10100","649"
"2019-10-23","649","651","649","649","2300","649"
"2019-10-24","655","655","644","645","8000","645"
"2019-10-25","645","645","641","641","1500","641"
"2019-10-28","641","644","640","642","2000","642"
"2019-10-29","643","643","631","631","2300","631"
"2019-10-30","631","659","631","659","19200","659"
"2019-10-31","655","656","652","656","2500","656"
"2019-11-01","655","658","637","637","9800","637"
"2019-11-05","640","650","640","648","6400","648"
"2019-11-06","653","655","642","655","6400","655"
"2019-11-07","662","664","652","664","10000","664"
"2019-11-08","666","684","661","684","15100","684"
"2019-11-11","684","688","682","688","6700","688"
"2019-11-12","690","690","680","680","8200","680"
"2019-11-13","679","679","672","674","2500","674"
"2019-11-14","671","677","670","676","4700","676"
"2019-11-15","668","673","667","673","12200","673"
"2019-11-18","680","680","675","677","4100","677"
"2019-11-19","677","687","674","687","11500","687"
"2019-11-20","688","688","684","684","6000","684"
"2019-11-21","683","683","673","675","8800","675"
"2019-11-22","673","678","670","674","4600","674"
"2019-11-25","674","676","674","674","3200","674"
"2019-11-26","674","676","671","673","6000","673"
"2019-11-27","672","673","670","671","8400","671"
"2019-11-28","671","678","664","677","11600","677"
"2019-11-29","677","678","671","675","2400","675"
"2019-12-02","675","695","671","695","13800","695"
"2019-12-04","742","751","721","750","36800","750"
"2019-12-05","741","744","729","743","23400","743"
"2019-12-06","738","753","735","753","16800","753"
"2019-12-09","761","764","744","752","16500","752"
"2019-12-10","750","752","744","744","16200","744"
"2019-12-11","745","755","721","730","40600","730"
"2019-12-12","731","747","731","747","8400","747"
"2019-12-13","750","795","750","794","114500","794"
"2019-12-16","944","944","944","944","70100","944"
"2019-12-18","849","850","828","836","50100","836"
"2019-12-19","847","850","838","841","32400","841"
"2019-12-20","841","860","830","833","44100","833"
