4634 東証1部 東洋インキＳＣホールディングス(株)（化学）,,,,,
"2019-07-16","2350","2359","2326","2338","31400","2338"
"2019-07-17","2332","2368","2315","2355","55600","2355"
"2019-07-18","2336","2340","2240","2246","98200","2246"
"2019-07-19","2264","2349","2254","2345","84700","2345"
"2019-07-22","2320","2349","2320","2326","48100","2326"
"2019-07-23","2326","2377","2317","2366","45000","2366"
"2019-07-24","2394","2400","2360","2379","46700","2379"
"2019-07-25","2400","2417","2390","2412","61000","2412"
"2019-07-26","2376","2384","2360","2376","52900","2376"
"2019-07-29","2358","2358","2335","2342","49800","2342"
"2019-07-30","2359","2393","2359","2393","56700","2393"
"2019-07-31","2355","2411","2355","2391","68100","2391"
"2019-08-01","2374","2388","2355","2373","31300","2373"
"2019-08-02","2303","2312","2242","2266","102900","2266"
"2019-08-05","2232","2236","2181","2210","80200","2210"
"2019-08-06","2131","2214","2128","2208","95400","2208"
"2019-08-07","2176","2216","2176","2203","76600","2203"
"2019-08-08","2186","2228","2161","2204","66500","2204"
"2019-08-09","2216","2243","2208","2216","75300","2216"
"2019-08-13","2004","2051","1994","2036","191200","2036"
"2019-08-14","2066","2138","2066","2138","117000","2138"
"2019-08-15","2065","2117","2060","2117","76400","2117"
"2019-08-16","2105","2119","2084","2109","60400","2109"
"2019-08-19","2142","2171","2111","2154","61800","2154"
"2019-08-20","2146","2169","2142","2169","31000","2169"
"2019-08-21","2119","2171","2118","2151","43300","2151"
"2019-08-22","2166","2166","2141","2160","41900","2160"
"2019-08-23","2177","2178","2142","2153","53600","2153"
"2019-08-26","2089","2094","2066","2077","72100","2077"
"2019-08-27","2112","2117","2079","2089","42400","2089"
"2019-08-28","2097","2104","2079","2104","44200","2104"
"2019-08-29","2111","2124","2080","2123","43900","2123"
"2019-08-30","2158","2211","2138","2201","96000","2201"
"2019-09-02","2178","2180","2144","2151","43200","2151"
"2019-09-03","2143","2187","2143","2186","37000","2186"
"2019-09-04","2158","2200","2157","2183","65300","2183"
"2019-09-05","2210","2253","2202","2245","80100","2245"
"2019-09-06","2258","2282","2244","2268","54200","2268"
"2019-09-09","2274","2310","2255","2306","38800","2306"
"2019-09-10","2327","2340","2312","2330","64300","2330"
"2019-09-11","2337","2398","2337","2398","80000","2398"
"2019-09-12","2422","2450","2395","2435","81700","2435"
"2019-09-13","2454","2468","2425","2462","130800","2462"
"2019-09-17","2452","2452","2414","2428","73000","2428"
"2019-09-18","2440","2447","2403","2430","64300","2430"
"2019-09-19","2430","2478","2430","2470","89800","2470"
"2019-09-20","2483","2490","2461","2477","125900","2477"
"2019-09-24","2460","2504","2460","2484","86200","2484"
"2019-09-25","2493","2500","2465","2482","91300","2482"
"2019-09-26","2525","2539","2488","2501","93600","2501"
"2019-09-27","2517","2524","2467","2497","79700","2497"
"2019-09-30","2455","2476","2422","2450","91800","2450"
"2019-10-01","2456","2494","2456","2486","67500","2486"
"2019-10-02","2458","2524","2449","2512","92000","2512"
"2019-10-03","2453","2464","2412","2443","59800","2443"
"2019-10-04","2448","2457","2397","2454","84100","2454"
"2019-10-07","2454","2470","2428","2452","100000","2452"
"2019-10-08","2455","2487","2433","2464","132400","2464"
"2019-10-09","2421","2498","2405","2498","87800","2498"
"2019-10-10","2506","2521","2479","2510","75300","2510"
"2019-10-11","2515","2527","2490","2524","86700","2524"
"2019-10-15","2574","2603","2562","2568","93100","2568"
"2019-10-16","2609","2636","2583","2599","85200","2599"
"2019-10-17","2611","2611","2579","2590","61600","2590"
"2019-10-18","2617","2649","2590","2600","74700","2600"
"2019-10-21","2618","2622","2599","2603","44500","2603"
"2019-10-23","2615","2618","2558","2618","41600","2618"
"2019-10-24","2641","2650","2619","2624","62700","2624"
"2019-10-25","2624","2660","2608","2660","72000","2660"
"2019-10-28","2666","2689","2665","2668","44800","2668"
"2019-10-29","2694","2698","2668","2670","59700","2670"
"2019-10-30","2673","2688","2650","2675","69700","2675"
"2019-10-31","2676","2690","2642","2661","63600","2661"
"2019-11-01","2633","2658","2623","2658","35000","2658"
"2019-11-05","2696","2730","2687","2716","85400","2716"
"2019-11-06","2750","2768","2730","2768","73800","2768"
"2019-11-07","2772","2778","2739","2758","74700","2758"
"2019-11-08","2800","2808","2762","2766","82100","2766"
"2019-11-11","2748","2765","2714","2765","67500","2765"
"2019-11-12","2748","2748","2717","2745","69700","2745"
"2019-11-13","2744","2772","2706","2722","69900","2722"
"2019-11-14","2701","2701","2662","2665","92600","2665"
"2019-11-15","2678","2723","2675","2722","60500","2722"
"2019-11-18","2713","2716","2673","2685","48500","2685"
"2019-11-19","2664","2691","2653","2682","33800","2682"
"2019-11-20","2652","2679","2644","2667","49000","2667"
"2019-11-21","2653","2672","2594","2639","87700","2639"
"2019-11-22","2639","2695","2639","2671","35200","2671"
"2019-11-25","2720","2720","2687","2702","54600","2702"
"2019-11-26","2715","2715","2671","2684","119500","2684"
"2019-11-27","2694","2725","2693","2707","55100","2707"
"2019-11-28","2726","2745","2714","2714","96500","2714"
"2019-11-29","2714","2721","2677","2695","80900","2695"
"2019-12-02","2688","2714","2670","2681","108400","2681"
"2019-12-04","2643","2659","2623","2656","90100","2656"
"2019-12-05","2681","2692","2642","2654","75400","2654"
"2019-12-06","2647","2682","2647","2670","90600","2670"
"2019-12-09","2700","2723","2686","2718","38700","2718"
"2019-12-10","2713","2728","2703","2709","70600","2709"
"2019-12-11","2713","2714","2683","2693","64200","2693"
"2019-12-12","2705","2712","2681","2687","47100","2687"
"2019-12-13","2765","2779","2728","2734","130600","2734"
"2019-12-16","2718","2747","2709","2722","94900","2722"
"2019-12-18","2725","2734","2684","2706","122900","2706"
"2019-12-19","2681","2707","2681","2693","70200","2693"
"2019-12-20","2703","2723","2682","2685","67900","2685"
